Position X,Position Y,mPD
821312.575,834995.674,3.2
821274.415,834899.553,3.2
821298.384,834945.959,3.14
821294.915,834940.724,3.12
821266.743,834900.818,3.12
821310.705,834998.732,3.1
821316.853,834977.228,3.08
821321.681,834973.891,3.08
821263.497,834898.118,3.03
821302.752,834950.108,2.99
821274.843,834910.749,2.9
821305.413,835056.345,2.87
821270.776,834904.68,2.83
821315.173,834979.447,2.82
821242.651,834817.544,2.75
821241.759,834843.547,2.75
821298.0136,835038.647,2.72
821283.687,834926.143,2.68
821286.362,834930.099,2.61
821287.061,834931.108,2.61
821248.007,834804.256,2.56
821245.253,834819.194,2.53
821303.463,834956.304,2.5
821250.6628,834799.9804,2.5
821306.31,834970.078,2.49
821256.9778,834783.7894,2.49
821314.435,834981.858,2.47
821252.1574,834795.7062,2.45
821225.121,834796.599,2.45
821213.878,834813.569,2.44
821226.909,834784.722,2.44
821254.6535,834789.2193,2.41
821290.763,834939.437,2.39
821289.066,834935.251,2.36
821234.136,834792.263,2.35
821250.247,834776.473,2.34
821304.445,835033.985,2.32
821303.513,835046.903,2.32
821303.826,835026.539,2.29
821227.825,834809.316,2.29
821304.305,835040.128,2.27
821216.848,834812.554,2.27
821308.868,835033.664,2.25
821233.026,834797.859,2.25
821297.9817,835033.7338,2.23
821296.503,835032.986,2.23
821218.757,834827.314,2.22
821299.092,834949.778,2.21
821289.15,834941.882,2.21
821242.192,834792.391,2.19
821235.431,834806.832,2.19
821226.495,834801.734,2.19
821242.847,834781.62,2.18
821305.665,834985.303,2.16
821294.671,834954.793,2.15
821293.509,834941.56,2.14
821306.141,834961.287,2.14
821224.933,834786.378,2.13
821291.667,834946.96,2.12
821218.662,834795.57,2.12
821295.868,834956.809,2.11
821306.926,835002.323,2.11
821306.494,834992.244,2.11
821220.413,834830.804,2.11
821223.284,834804.642,2.1
821231.322,834816.241,2.09
821308.276,834967.514,2.08
821307.553,834975.173,2.04
821250.993,834783.514,2.04
821223.125,834810.66,2.02
821247.748,834786.789,2.01
821303.333,834977.862,2
821238.146,834802.823,1.96
821240.473,834795.228,1.95
821236.0668,834852.6776,1.94
821239.15,834862.3905,1.94
821251.915,834874.929,1.94
821235.711,834843.557,1.94
821242.633,834803.167,1.91
821228.7485,834835.3605,1.88
821302.159,834996.492,1.87
821232.7366,834826.1634,1.86
821244.499,834871.994,1.86
821222.707,834820.774,1.86
821237.1938,834834.8918,1.85
821244.868,834792.057,1.84
821309.436,834980.547,1.83
821261.223,834899.068,1.8
821238.808,834822.468,1.76
821224.174,834825.109,1.74
821281.657,834924.925,1.7
821278.188,834926.433,1.7
821256.14,834888.347,1.7
821281.472,834928.19,1.67
821254.872,834882.227,1.64
821296.952,834982.501,1.61
821297.9782,835022.4158,1.55
821271.676,834921.788,1.53
821280.891,834933.962,1.5
821247.624,834869.514,1.46
821245.3838,834860.3941,1.45
821244.675,834809.933,1.44
821220.685,834789.066,1.23
821298.086,835025.665,1.2
821296.661,835025.295,1.14
821287.91,834950.96,1.13
821284.7034,834942.1869,1.13
